Cantidad,Nombre Producto,Related Venta,Related Detalle Schedule,Codigo,Presentacion,Nombre Producto (ref),Related Catalogo Producto,Catalogo Producto - Producto,Precio,Kilagramos,Importes,Catalogo Producto - Peso,Calibre,Detalle Json,producto,Venta - Nombre Cliente,Codigo.,Catalogo Producto - Descripcion,Impuesto,Malla,Related Detalle Venta,Detalle Venta records,Agregar Devoluccion,Devoluccion,Devoluccion Ckeck,Nombre Almacen,Fecha Venta,Venta - Tipo de Cliente,Tipo de Venta,Cantidad Cajas,Cantidad Kilogramos,Cantidad Pallets,Catalogo Producto - Cajas Pallet,Venta - Entregado Bodega,Detalle Salidas Venta records,Add Detalle Salidas Venta,Cantidad Pendiente,Existencia,Facturas/Ventas records,Add Facturas/Ventas,Salidas X Facturas,Devolucion,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
400,,603,,,,,111,EX PLASTICO 10 KG WALMART,$650,"4,000","$260,000",10,EX,"{
""id"":""1688"",
""CodigoP"":""111"",
""unitPrice"":650,
""idVenta"":603,
""KG"":400,
""Existencia"":0
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022582,AGUACATE HASS EXTRA EN CAJA DE PLÁSTICO GENÉRICA 10 KG  (230/260 GR) ED,0,no,,1688,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1688&_fid_15=111&_fid_34=1&dfid=11&z=cq5b2,,no,Ciudad de Mexico,03-12-24 02:23 PM,Nacional,Cajas,400,"4,000",3.8461538461538,104,no,1688,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1688&z=cq5b2,,0,1688,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1688&z=cq5b2,4040,40,03-12-24 03:06 PM,03-12-24 03:06 PM,1688,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
624,,604,,,,,96,4TA PLASTICO 10 KG,$140,"6,240","$87,360",10,4TA,"{
""id"":""1689"",
""CodigoP"":""96"",
""unitPrice"":140,
""idVenta"":604,
""KG"":624,
""Existencia"":6240
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",ABASTOS JB SA DE CV (HUIXCOLOTLA),AC10,AGUACATE CUARTA PLÁSTICO 10 KG,0,no,,1689,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1689&_fid_15=96&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 03:27 PM,Nacional,Cajas,624,"6,240",6,104,no,1689,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1689&z=cq5b2,,6240,1689,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1689&z=cq5b2,,,04-12-24 03:29 PM,04-12-24 03:29 PM,1689,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
208,,604,,,,,98,5TA PLASTICO 10 KG,$110,"2,080","$22,880",10,5TA,"{
""id"":""1690"",
""CodigoP"":""98"",
""unitPrice"":110,
""idVenta"":604,
""KG"":208,
""Existencia"":2080
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",ABASTOS JB SA DE CV (HUIXCOLOTLA),AQ10,AGUACATE QUINTA PLÁSTICO 10 KG,0,no,,1690,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1690&_fid_15=98&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 03:27 PM,Nacional,Cajas,208,"2,080",2,104,no,1690,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1690&z=cq5b2,,2080,1690,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1690&z=cq5b2,,,04-12-24 03:29 PM,04-12-24 03:29 PM,1690,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
208,,604,,,,,97,4TA B PLASTICO 10 KG,$120,"2,080","$24,960",10,4TA B,"{
""id"":""1691"",
""CodigoP"":""97"",
""unitPrice"":120,
""idVenta"":604,
""KG"":208,
""Existencia"":2080
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",ABASTOS JB SA DE CV (HUIXCOLOTLA),ACB10,AGUACATE CUARTA B PLÁSTICO 10 KG,0,no,,1691,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1691&_fid_15=97&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 03:27 PM,Nacional,Cajas,208,"2,080",2,104,no,1691,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1691&z=cq5b2,,2080,1691,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1691&z=cq5b2,,,04-12-24 03:30 PM,04-12-24 03:30 PM,1691,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
315,,,,,,,118,EX RPC 19 KG WALMART,,"5,985",$0,19,EX,"{
""id"":""1692"",
""CodigoP"":""118"",
""unitPrice"":0,
""idVenta"":0,
""KG"":315,
""Existencia"":5985
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,07503017022063,AGUACATE HASS EXTRA M EN CAJA DE PLÁSTICO RPC 19 KG  210/325 GR,0,no,1644,1692,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1692&_fid_15=118&_fid_34=1&dfid=11&z=cq5b2,,yes,,,,,,,,45,no,1692,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1692&z=cq5b2,,5985,1692,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1692&z=cq5b2,,,04-12-24 04:12 PM,04-12-24 04:12 PM,1692,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
45,,,,,,,453,1RA RPC 20 KG WALMART 45 CJS,,900,$0,20,1RA,"{
""id"":""1693"",
""CodigoP"":""453"",
""unitPrice"":0,
""idVenta"":0,
""KG"":45,
""Existencia"":900
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,07503017022049,AGUACATE HASS PRIMERA EN CAJA DE PLASTICO RPC 20 KG 170/210 GR,0,no,1645,1693,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1693&_fid_15=453&_fid_34=1&dfid=11&z=cq5b2,,yes,,,,,,,,45,no,1693,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1693&z=cq5b2,,900,1693,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1693&z=cq5b2,,,04-12-24 04:13 PM,04-12-24 04:13 PM,1693,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
90,,,,,,,115,EX SPCL RPC 19 KG 20/4 WALMART,,"1,710",$0,19,EX,"{
""id"":""1694"",
""CodigoP"":""115"",
""unitPrice"":0,
""idVenta"":0,
""KG"":90,
""Existencia"":1710
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",,07503017022643,AGUACATE HASS EXTRA SPECIAL EN MALLA 20/4 EN CAJA PLÁSTICO RPC 19 KG 230/260 GR,0,no,1646,1694,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1694&_fid_15=115&_fid_34=1&dfid=11&z=cq5b2,,yes,,,,,,,,45,no,1694,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1694&z=cq5b2,,1710,1694,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1694&z=cq5b2,,,04-12-24 04:13 PM,04-12-24 04:13 PM,1694,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
360,,605,,,,,89,1RA GEN 20 KG WALMART 45 CJS,"$1,260","7,200","$453,600",20,1RA,"{
""id"":""1695"",
""CodigoP"":""89"",
""unitPrice"":1260,
""idVenta"":605,
""KG"":360,
""Existencia"":7200
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022049G,AGUACATE HASS PRIMERA EN CAJA GENÉRICA DE 20 KG  170/210 GR,0,no,,1695,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1695&_fid_15=89&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 05:20 PM,Nacional,Cajas,360,"7,200",8,45,no,1695,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1695&z=cq5b2,,7200,1695,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1695&z=cq5b2,,,04-12-24 05:23 PM,04-12-24 05:23 PM,1695,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
180,,605,,,,,129,1RA B GEN 20 KG WALMART 40 CJS,"$1,220","3,600","$219,600",20,1RA B,"{
""id"":""1696"",
""CodigoP"":""129"",
""unitPrice"":1220,
""idVenta"":605,
""KG"":180,
""Existencia"":3600
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022056G,AGUACATE HASS PRIMERA B EN CAJA GENÉRICA DE 20 KG  170/210 GR,0,no,,1696,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1696&_fid_15=129&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 05:20 PM,Nacional,Cajas,180,"3,600",4.5,40,no,1696,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1696&z=cq5b2,,3600,1696,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1696&z=cq5b2,,,04-12-24 05:24 PM,04-12-24 05:24 PM,1696,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
180,,605,,,,,90,EX GEN 19 KG WALMART 45 CJS,"$1,197","3,420","$215,460",19,EX,"{
""id"":""1697"",
""CodigoP"":""90"",
""unitPrice"":1197,
""idVenta"":605,
""KG"":180,
""Existencia"":3420
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022063G,AGUACATE HASS EXTRA M EN CAJA GENÉRICA DE 19 KG 210/325 GR,0,no,,1697,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1697&_fid_15=90&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 05:20 PM,Nacional,Cajas,180,"3,420",4,45,no,1697,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1697&z=cq5b2,,3420,1697,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1697&z=cq5b2,,,04-12-24 05:25 PM,04-12-24 05:25 PM,1697,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
90,,605,,,,,102,MD MKTS GEN 20 KG 25/5 WALMART 45 CJS,$950,"1,800","$85,500",20,MD,"{
""id"":""1698"",
""CodigoP"":""102"",
""unitPrice"":950,
""idVenta"":605,
""KG"":90,
""Existencia"":1800
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022599,AGUACATE HASS MEDIANO MARKETSIDE EN MALLA 25/5 EN CAJA PLÁSTICO GENÉRICA 20 KG 150/170 GR,0,no,,1698,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1698&_fid_15=102&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 05:20 PM,Nacional,Cajas,90,"1,800",2,45,no,1698,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1698&z=cq5b2,,1800,1698,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1698&z=cq5b2,,,04-12-24 05:25 PM,04-12-24 05:25 PM,1698,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
360,,605,,,,,88,3RA BOD BD AU GEN 20 KG 25/5 WALMART 45 CJS,$625,"7,200","$225,000",20,3RA B,"{
""id"":""1699"",
""CodigoP"":""88"",
""unitPrice"":625,
""idVenta"":605,
""KG"":360,
""Existencia"":7200
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022629,AGUACATE HASS TERCERA B AURRERA EN MALLA 25/5 EN CAJA PLÁSTICO GENÉRICA 20 KG 120/150 GR,0,no,,1699,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1699&_fid_15=88&_fid_34=1&dfid=11&z=cq5b2,,no,,04-12-24 05:20 PM,Nacional,Cajas,360,"7,200",8,45,no,1699,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1699&z=cq5b2,,7200,1699,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1699&z=cq5b2,,,04-12-24 05:26 PM,04-12-24 05:26 PM,1699,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
300,,606,,,,,111,EX PLASTICO 10 KG WALMART,$650,"3,000","$195,000",10,EX,"{
""id"":""1700"",
""CodigoP"":""111"",
""unitPrice"":650,
""idVenta"":606,
""KG"":300,
""Existencia"":0
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022582,AGUACATE HASS EXTRA EN CAJA DE PLÁSTICO GENÉRICA 10 KG  (230/260 GR) ED,0,no,,1700,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1700&_fid_15=111&_fid_34=1&dfid=11&z=cq5b2,,no,Ciudad de Mexico,05-12-24 03:03 PM,Nacional,Cajas,300,"3,000",2.8846153846154,104,no,1700,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1700&z=cq5b2,,0,1700,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1700&z=cq5b2,3000,,05-12-24 06:03 PM,05-12-24 06:03 PM,1700,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
900,,607,,,,,88,3RA BOD BD AU GEN 20 KG 25/5 WALMART 45 CJS,$625,"18,000","$562,500",20,3RA B,"{
""id"":""1701"",
""CodigoP"":""88"",
""unitPrice"":625,
""idVenta"":607,
""KG"":900,
""Existencia"":18000
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022629,AGUACATE HASS TERCERA B AURRERA EN MALLA 25/5 EN CAJA PLÁSTICO GENÉRICA 20 KG 120/150 GR,0,no,,1701,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1701&_fid_15=88&_fid_34=1&dfid=11&z=cq5b2,,no,,06-12-24 09:24 AM,Nacional,Cajas,900,"18,000",20,45,no,1701,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1701&z=cq5b2,,"18,000",1701,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1701&z=cq5b2,,,06-12-24 09:31 AM,06-12-24 09:31 AM,1701,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
90,,607,,,,,109,EX SPCL GEN 19 KG 20/4 WALMART 45 CJS,"$1,720","1,710","$154,800",19,EX,"{
""id"":""1702"",
""CodigoP"":""109"",
""unitPrice"":1720,
""idVenta"":607,
""KG"":90,
""Existencia"":1710
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022650,AGUACATE HASS EXTRA SPECIAL EN MALLA 20/4 EN CAJA PLÁSTICO GENÉRICA 19 KG 230/260 GR,0,no,,1702,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1702&_fid_15=109&_fid_34=1&dfid=11&z=cq5b2,,no,,06-12-24 09:24 AM,Nacional,Cajas,90,"1,710",2,45,no,1702,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1702&z=cq5b2,,1710,1702,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1702&z=cq5b2,,,06-12-24 09:32 AM,06-12-24 09:32 AM,1702,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
180,,607,,,,,129,1RA B GEN 20 KG WALMART 40 CJS,"$1,220","3,600","$219,600",20,1RA B,"{
""id"":""1703"",
""CodigoP"":""129"",
""unitPrice"":1220,
""idVenta"":607,
""KG"":180,
""Existencia"":3600
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022056G,AGUACATE HASS PRIMERA B EN CAJA GENÉRICA DE 20 KG  170/210 GR,0,no,,1703,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=1703&_fid_15=129&_fid_34=1&dfid=11&z=cq5b2,,no,,06-12-24 09:24 AM,Nacional,Cajas,180,"3,600",4.5,40,no,1703,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=1703&z=cq5b2,,3600,1703,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=1703&z=cq5b2,,,06-12-24 09:33 AM,06-12-24 09:33 AM,1703,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
